theme_id	display_label	anchor_go_id	anchor_label	theme_role	display_order	match_scope	rationale	registry_version
rna_processing_splicing_rnp	RNA processing / splicing / RNP organization	GO:0006396	RNA processing	primary	1	anchor_and_descendants	Core RNA-processing branch; descendants are followed only through is_a and part_of.	manuscript_go_themes_v2
rna_processing_splicing_rnp	RNA processing / splicing / RNP organization	GO:0050684	regulation of mRNA processing	primary	1	anchor_and_descendants	Explicit regulatory anchor; regulation edges are not traversed from RNA processing.	manuscript_go_themes_v2
rna_processing_splicing_rnp	RNA processing / splicing / RNP organization	GO:0043484	regulation of RNA splicing	primary	1	anchor_and_descendants	Explicit regulatory anchor for the supported splicing-regulation branch.	manuscript_go_themes_v2
rna_processing_splicing_rnp	RNA processing / splicing / RNP organization	GO:0022613	ribonucleoprotein complex biogenesis	primary	1	exact_go_id	Exact supported RNP-biogenesis term; descendant expansion would also absorb ribosome biogenesis into two manuscript themes.	manuscript_go_themes_v2
rna_processing_splicing_rnp	RNA processing / splicing / RNP organization	GO:0022618	protein-RNA complex assembly	primary	1	exact_go_id	Explicit supported RNP-assembly term retained without broad descendant expansion.	manuscript_go_themes_v2
rna_processing_splicing_rnp	RNA processing / splicing / RNP organization	GO:0071826	protein-RNA complex organization	primary	1	exact_go_id	Explicit supported RNP-organization term retained without broad descendant expansion.	manuscript_go_themes_v2
ribosome_translation	Translation / ribosome biogenesis	GO:0006412	translation	primary	2	anchor_and_descendants	Core translation branch.	manuscript_go_themes_v2
ribosome_translation	Translation / ribosome biogenesis	GO:0006417	regulation of translation	primary	2	anchor_and_descendants	Explicit regulatory anchor; regulation edges are not traversed from translation.	manuscript_go_themes_v2
ribosome_translation	Translation / ribosome biogenesis	GO:0042254	ribosome biogenesis	primary	2	anchor_and_descendants	Ribosome-biogenesis branch supporting translation machinery.	manuscript_go_themes_v2
chromatin_organization	Chromatin organization / remodeling	GO:0006325	chromatin organization	primary	3	anchor_and_descendants	Coherent recurrent chromatin, nucleosome, and remodeling branch promoted to the primary manuscript view.	manuscript_go_themes_v2
mitochondrial_respiration_oxphos	Mitochondrial respiration / OXPHOS	GO:0045333	cellular respiration	primary	4	anchor_and_descendants	Respiration branch containing aerobic respiration and oxidative phosphorylation through approved edges.	manuscript_go_themes_v2
mitochondrial_respiration_oxphos	Mitochondrial respiration / OXPHOS	GO:0022900	electron transport chain	primary	4	anchor_and_descendants	Explicit electron-transport branch required to retain supported respiratory-chain terms without generic metabolism matching.	manuscript_go_themes_v2
mitochondrial_respiration_oxphos	Mitochondrial respiration / OXPHOS	GO:0033108	mitochondrial respiratory chain complex assembly	primary	4	anchor_and_descendants	Explicit mitochondrial respiratory-complex assembly branch.	manuscript_go_themes_v2
synaptic_signaling_vesicle	Synaptic signaling / vesicle-mediated transport	GO:0099536	synaptic signaling	primary	5	anchor_and_descendants	Core synaptic-signaling branch.	manuscript_go_themes_v2
synaptic_signaling_vesicle	Synaptic signaling / vesicle-mediated transport	GO:0099177	regulation of trans-synaptic signaling	primary	5	anchor_and_descendants	Explicit regulatory anchor; regulation edges are not traversed from synaptic signaling.	manuscript_go_themes_v2
synaptic_signaling_vesicle	Synaptic signaling / vesicle-mediated transport	GO:0099003	vesicle-mediated transport in synapse	primary	5	anchor_and_descendants	Synapse-specific vesicle-transport branch; generic vesicle organization is excluded.	manuscript_go_themes_v2
autophagy_lysosome_endosome	Autophagy / endolysosomal trafficking	GO:0061919	process utilizing autophagic mechanism	primary	6	anchor_and_descendants	Autophagic-process branch including autophagy and macroautophagy.	manuscript_go_themes_v2
autophagy_lysosome_endosome	Autophagy / endolysosomal trafficking	GO:0007040	lysosome organization	primary	6	anchor_and_descendants	Lysosome-organization branch.	manuscript_go_themes_v2
autophagy_lysosome_endosome	Autophagy / endolysosomal trafficking	GO:0016197	endosomal transport	primary	6	anchor_and_descendants	Endosomal-transport branch.	manuscript_go_themes_v2
cytoskeleton_structure	Intermediate filament organization	GO:0045109	intermediate filament organization	qc_review	90	anchor_and_descendants	QC-associated intermediate-filament branch; do not interpret as a general neuronal cytoskeletal program.	manuscript_go_themes_v2
epithelial_epidermal_qc	Epidermal / keratinocyte differentiation	GO:0030855	epithelial cell differentiation	qc_review	91	anchor_and_descendants	Non-neural epithelial differentiation signal retained for QC review rather than neural-development interpretation.	manuscript_go_themes_v2
epithelial_epidermal_qc	Epidermal / keratinocyte differentiation	GO:0043588	skin development	qc_review	91	anchor_and_descendants	Skin-development branch retained only as QC/context.	manuscript_go_themes_v2
epithelial_epidermal_qc	Epidermal / keratinocyte differentiation	GO:0008544	epidermis development	qc_review	91	anchor_and_descendants	Epidermis-development branch retained only as QC/context.	manuscript_go_themes_v2
